FBID	CHROM	START	END	STRAND
FBgn0027548	2R	3849968	3857310	+
FBgn0033243	2R	3853534	3855529	-
FBgn0033244	2R	3855634	3859508	-
FBgn0027054	2R	3859680	3861604	+
FBgn0033246	2R	3861620	3879367	-
FBgn0033247	2R	3875967	3878788	+
FBgn0265299	2R	3879701	3880072	-
FBgn0033248	2R	3881303	3882473	-
FBgn0027788	2R	3882943	3885783	-
FBgn0033249	2R	3887995	3889625	-
FBgn0013307	2R	3892329	3894177	+
FBgn0013308	2R	3894751	3896567	+
FBgn0033250	2R	3896624	3901260	-
FBgn0263572	2R	3902754	3902848	+
FBgn0266805	2R	3906681	3914100	+
FBgn0263970	2R	3916434	3917440	-
FBgn0025360	2R	3918788	3930034	+
FBgn0033252	2R	3939585	3953059	-
FBgn0040778	2R	3953779	3955160	-
FBgn0020279	2R	3955482	3966320	+
FBgn0021814	2R	3966374	3967546	-
FBgn0025469	2R	3968064	3970862	-
FBgn0028563	2R	3970481	3974656	+
FBgn0028562	2R	3974901	3976802	+
FBgn0028561	2R	3976987	3978802	+
FBgn0033257	2R	3979201	3984453	+
FBgn0033258	2R	3984297	3985989	-
FBgn0033259	2R	3986189	3989811	+
FBgn0033260	2R	3989765	3993823	-
FBgn0033261	2R	3993890	3994878	+
FBgn0050372	2R	4001791	4010506	-
FBgn0033264	2R	4010541	4012563	+
FBgn0033265	2R	4012486	4014747	-
FBgn0033266	2R	4015080	4016981	+
FBgn0260390	2R	4016859	4018828	-
FBgn0260398	2R	4016859	4018828	-
FBgn0005648	2R	4018936	4021879	+
FBgn0033268	2R	4021675	4022820	-
FBgn0263593	2R	4024491	4044159	-
FBgn0010504	2R	4034423	4044159	-
FBgn0264877	2R	4044666	4045765	+
FBgn0050374	2R	4044762	4045419	-
FBgn0050297	2R	4045960	4046033	+
FBgn0033271	2R	4046911	4049070	-
FBgn0033272	2R	4049184	4051005	-
FBgn0021995	2R	4051069	4055274	+
FBgn0050373	2R	4051505	4052374	-
FBgn0086021	2R	4053455	4053553	+
FBgn0033273	2R	4055453	4057594	+
FBgn0011659	2R	4057779	4059906	+
FBgn0033274	2R	4059869	4061118	-
FBgn0053087	2R	4061670	4113943	+
FBgn0033275	2R	4092393	4093211	-
FBgn0085246	2R	4115495	4116232	-
FBgn0010109	2R	4116476	4119835	-
FBgn0265302	2R	4116801	4118301	+
FBgn0013726	2R	4124776	4127802	+
FBgn0265303	2R	4129101	4129522	-
FBgn0265638	2R	4129901	4131005	-
FBgn0265639	2R	4133300	4133800	+
FBgn0265632	2R	4136601	4137100	-
FBgn0033277	2R	4141728	4144436	+
FBgn0050369	2R	4146791	4147289	+
FBgn0033278	2R	4147346	4147988	+
FBgn0033279	2R	4148112	4148968	-
FBgn0033280	2R	4150179	4150783	-
FBgn0050376	2R	4150991	4151931	-
FBgn0050375	2R	4153198	4154800	-
FBgn0050371	2R	4155148	4156839	-
FBgn0265307	2R	4164850	4165500	+
FBgn0262440	2R	4185611	4185705	+
FBgn0265640	2R	4192000	4192600	+
FBgn0265641	2R	4197000	4197750	+
FBgn0265642	2R	4198200	4198651	-
FBgn0265643	2R	4199150	4199450	+
FBgn0261588	2R	4214995	4283785	+
FBgn0033283	2R	4246043	4246977	+
FBgn0050364	2R	4246971	4249661	-
FBgn0050365	2R	4246971	4249661	-
FBgn0250827	2R	4249864	4250723	-
FBgn0050363	2R	4250777	4252850	-
FBgn0050366	2R	4250777	4252850	-
FBgn0050362	2R	4253055	4254193	-
FBgn0033285	2R	4254668	4255432	-
FBgn0033286	2R	4255849	4257543	-
FBgn0033287	2R	4258578	4259647	+
FBgn0033289	2R	4283902	4299272	-
FBgn0262988	2R	4304681	4305211	-
FBgn0028836	2R	4308538	4316082	+
FBgn0002531	2R	4317620	4318748	-
FBgn0011812	2R	4320391	4320889	-
FBgn0002533	2R	4321302	4322290	-
FBgn0002534	2R	4322815	4323600	+
FBgn0002535	2R	4325152	4326000	+
FBgn0033292	2R	4326900	4330311	-
FBgn0014469	2R	4332065	4334669	+
FBgn0262316	2R	4332487	4332586	+
FBgn0015034	2R	4334956	4337250	+
FBgn0002570	2R	4337169	4339409	-
FBgn0002569	2R	4341132	4343287	+
FBgn0002571	2R	4343414	4345397	-
FBgn0033294	2R	4346320	4348389	+
FBgn0050359	2R	4350258	4352597	+
FBgn0050360	2R	4352663	4355100	+
FBgn0033296	2R	4356151	4359168	-
FBgn0033297	2R	4359459	4361466	+
FBgn0050361	2R	4361461	4419799	-
FBgn0265306	2R	4430301	4431047	-
FBgn0033301	2R	4439364	4439795	-
FBgn0266846	2R	4445920	4446429	-
FBgn0033302	2R	4451692	4454707	-
FBgn0033303	2R	4456642	4457811	+
FBgn0033304	2R	4458004	4459652	+
FBgn0259226	2R	4460873	4472284	-
FBgn0033307	2R	4478002	4479453	+
FBgn0262812	2R	4479700	4480474	+
FBgn0033308	2R	4481536	4482506	-
FBgn0033309	2R	4484477	4487467	-
FBgn0033310	2R	4487920	4499800	+
FBgn0033312	2R	4498884	4501660	-
FBgn0033313	2R	4502227	4512708	+
FBgn0022027	2R	4512956	4513685	+
FBgn0033315	2R	4513686	4515116	-
FBgn0033316	2R	4515405	4517691	+
FBgn0033317	2R	4517712	4519467	-
FBgn0003892	2R	4537154	4552728	+
FBgn0265308	2R	4538202	4539001	-
FBgn0263120	2R	4553318	4570527	+
FBgn0050354	2R	4564724	4565166	+
FBgn0050355	2R	4566651	4567458	-
FBgn0011906	2R	4570720	4570802	+
FBgn0001285	2R	4578953	4580349	+
FBgn0033320	2R	4580301	4583750	-
FBgn0033321	2R	4583933	4586088	+
FBgn0033322	2R	4588197	4589299	-
FBgn0033323	2R	4589340	4592007	+
FBgn0033324	2R	4593893	4596991	-
FBgn0043576	2R	4597238	4597825	+
FBgn0033326	2R	4597903	4600418	-
FBgn0033327	2R	4600951	4602599	+
FBgn0043575	2R	4604455	4605200	+
FBgn0040777	2R	4605522	4611344	-
FBgn0050357	2R	4607605	4609129	-
FBgn0005695	2R	4611763	4616504	+
FBgn0263463	2R	4612410	4612570	+
FBgn0050356	2R	4616469	4617006	-
FBgn0086784	2R	4617007	4621809	-
FBgn0027585	2R	4623315	4647095	+
FBgn0261267	2R	4624875	4625295	+
FBgn0265304	2R	4631550	4631881	-
FBgn0265305	2R	4655801	4656300	-
FBgn0033330	2R	4680138	4681278	+
FBgn0024189	2R	4685994	4743596	+
FBgn0050350	2R	4713896	4715260	+
FBgn0011286	2R	4747869	4775602	+
FBgn0033337	2R	4775909	4778906	-
FBgn0021825	2R	4779337	4780844	+
FBgn0033339	2R	4781118	4786303	+
FBgn0266729	2R	4785325	4785780	-
FBgn0027513	2R	4786234	4787716	-
FBgn0033340	2R	4787746	4788122	+
FBgn0033341	2R	4788071	4788880	-
FBgn0004921	2R	4788909	4792296	+
FBgn0033342	2R	4792349	4794495	-
FBgn0050349	2R	4795023	4798390	+
FBgn0033344	2R	4796937	4797854	-
FBgn0003074	2R	4798405	4801574	-
FBgn0002552	2R	4802029	4805739	+
FBgn0085248	2R	4805213	4806382	-
FBgn0033347	2R	4806445	4807873	-
FBgn0033348	2R	4807775	4810260	-
FBgn0033349	2R	4810290	4812851	+
FBgn0033350	2R	4813176	4814395	+
FBgn0033351	2R	4814519	4815610	-
FBgn0033352	2R	4815674	4820608	+
FBgn0033353	2R	4820928	4821950	+
FBgn0033354	2R	4822081	4827294	-
FBgn0033355	2R	4827920	4828641	+
FBgn0265300	2R	4829100	4830000	+
FBgn0265301	2R	4831000	4831800	+
FBgn0027607	2R	4831803	4834849	-
FBgn0053199	2R	4835186	4838591	-
FBgn0033356	2R	4835618	4838591	-
FBgn0033357	2R	4839100	4839747	+
FBgn0011300	2R	4839844	4850301	+
FBgn0033358	2R	4850669	4855689	-
FBgn0033359	2R	4856851	4873405	-
FBgn0265011	2R	4880450	4894092	-
FBgn0033362	2R	4894739	4901031	-
FBgn0033363	2R	4901873	4904700	-
FBgn0033364	2R	4905320	4906537	+
FBgn0033365	2R	4906537	4918550	-
FBgn0033366	2R	4927233	4929647	-
FBgn0033367	2R	4929766	4932214	-
FBgn0033368	2R	4932355	4948113	-
FBgn0033369	2R	4947966	4949429	-
FBgn0011746	2R	4949800	4965059	+
FBgn0025709	2R	4966226	4969879	+
FBgn0033371	2R	4969900	4973222	+
FBgn0033372	2R	4972103	4975313	-
FBgn0010220	2R	4975339	4977307	+
FBgn0033373	2R	4977279	4980398	-
FBgn0033374	2R	4980011	4982163	-
FBgn0083124	2R	4982778	4984817	+
FBgn0082981	2R	4982877	4983031	+
FBgn0086672	2R	4983190	4983337	+
FBgn0082928	2R	4983501	4983585	+
FBgn0082943	2R	4983742	4983818	+
FBgn0082942	2R	4984011	4984087	+
FBgn0082927	2R	4984268	4984349	+
FBgn0033375	2R	4984436	4986030	-
FBgn0086603	2R	4984535	4984674	+
FBgn0033376	2R	4986044	4990658	+
FBgn0015838	2R	4990743	4994301	+
FBgn0033377	2R	4994656	4997223	-
FBgn0033378	2R	4998304	4999083	+
FBgn0033379	2R	4999010	5001456	-
FBgn0033380	2R	5001779	5003535	+
FBgn0003612	2R	5003627	5009505	+
FBgn0033381	2R	5009630	5010814	+
FBgn0027561	2R	5010809	5019535	-
FBgn0033382	2R	5019985	5022958	+
FBgn0260972	2R	5022880	5025438	-
FBgn0028955	2R	5025991	5029486	+
FBgn0265313	2R	5025991	5029486	+
FBgn0086656	2R	5029651	5031419	-
FBgn0050342	2R	5031461	5032656	+
FBgn0050344	2R	5032765	5036017	+
FBgn0050345	2R	5036194	5039397	+
FBgn0033387	2R	5045412	5048941	-
FBgn0265310	2R	5048989	5049503	+
FBgn0033388	2R	5049542	5052472	-
FBgn0033389	2R	5053137	5055175	+
FBgn0259728	2R	5054071	5055013	-
FBgn0015477	2R	5055268	5064766	-
FBgn0002567	2R	5065369	5073847	-
FBgn0265311	2R	5070900	5072000	+
FBgn0033391	2R	5074175	5079601	-
FBgn0266486	2R	5074175	5079601	-
FBgn0015561	2R	5082710	5087375	+
FBgn0033392	2R	5091915	5094629	-
FBgn0262515	2R	5095066	5097279	+
FBgn0266847	2R	5100630	5101249	+
FBgn0265644	2R	5101600	5102650	+
FBgn0010114	2R	5115290	5134754	-
FBgn0033395	2R	5125017	5127336	+
FBgn0015037	2R	5127546	5129644	+
FBgn0033397	2R	5129825	5131915	+
FBgn0050343	2R	5139526	5140760	+
FBgn0020621	2R	5139815	5172602	-
FBgn0083977	2R	5147783	5151476	-
FBgn0266625	2R	5172350	5173099	+
FBgn0033400	2R	5172815	5174139	-
FBgn0033401	2R	5174332	5176531	+
FBgn0026326	2R	5176462	5179070	-
FBgn0028408	2R	5179361	5190326	+
FBgn0033402	2R	5190328	5196227	-
FBgn0033405	2R	5196801	5276972	-
FBgn0033403	2R	5196801	5239160	-
FBgn0262220	2R	5200528	5200621	-
FBgn0033404	2R	5232854	5236368	+
FBgn0040775	2R	5250079	5250411	-
FBgn0010549	2R	5277670	5282786	+
FBgn0033408	2R	5282835	5283711	-
FBgn0028473	2R	5283770	5286239	-
FBgn0016970	2R	5286585	5287404	+
FBgn0053774	2R	5287258	5287834	-
FBgn0016078	2R	5288036	5300968	-
FBgn0041087	2R	5301847	5305351	+
FBgn0033412	2R	5309477	5311193	-
FBgn0033413	2R	5311592	5313612	+
FBgn0017558	2R	5313944	5322143	+
FBgn0029092	2R	5322174	5332442	-
FBgn0266860	2R	5332949	5333299	-
FBgn0259234	2R	5333551	5367581	+
FBgn0053758	2R	5340914	5341560	-
FBgn0053757	2R	5341802	5342453	-
FBgn0004360	2R	5381671	5390693	+
FBgn0259246	2R	5391270	5429070	+
FBgn0033421	2R	5429452	5435640	-
FBgn0263660	2R	5440349	5441445	+
FBgn0262447	2R	5441267	5441329	+
FBgn0266819	2R	5446760	5452695	-
FBgn0033422	2R	5447103	5448573	+
FBgn0033423	2R	5449143	5451376	+
FBgn0085436	2R	5453651	5466512	-
FBgn0033426	2R	5464932	5469352	+
FBgn0033427	2R	5469266	5472050	-
FBgn0033428	2R	5472148	5473631	+
FBgn0033429	2R	5473615	5474219	-
FBgn0025286	2R	5474698	5475494	+
FBgn0261016	2R	5475458	5487237	-
FBgn0033431	2R	5476555	5477948	+
FBgn0010342	2R	5478372	5480249	+
FBgn0033434	2R	5481550	5493129	+
FBgn0050338	2R	5481550	5487010	+
FBgn0050340	2R	5487414	5488757	-
FBgn0050339	2R	5488936	5490406	-
FBgn0265312	2R	5493144	5493375	-
FBgn0050000	2R	5493493	5494689	+
FBgn0050005	2R	5494797	5495855	+
FBgn0033437	2R	5495633	5497795	-
FBgn0264878	2R	5497969	5503122	+
FBgn0033438	2R	5498644	5571363	-
FBgn0262172	2R	5508739	5508858	+
FBgn0262385	2R	5508756	5508843	-
FBgn0264879	2R	5524501	5525178	-
FBgn0011921	2R	5548730	5548801	+
FBgn0023143	2R	5575794	5580833	-
FBgn0260474	2R	5591889	5593652	+
FBgn0033439	2R	5593772	5595085	+
FBgn0033440	2R	5595041	5596227	+
FBgn0265338	2R	5596201	5598001	-
FBgn0010316	2R	5599826	5603761	+
FBgn0259678	2R	5603853	5635626	-
FBgn0262594	2R	5636305	5636894	+
FBgn0005614	2R	5641202	5653023	+
FBgn0033442	2R	5643798	5645573	-
FBgn0265103	2R	5653853	5655019	+
FBgn0027589	2R	5653869	5694380	-
FBgn0265105	2R	5662615	5663875	+
FBgn0265106	2R	5676044	5678800	+
FBgn0033443	2R	5680831	5685511	+
FBgn0033446	2R	5698479	5707558	-
FBgn0040092	2R	5703015	5704105	+
FBgn0040093	2R	5704805	5706040	+
FBgn0054033	2R	5708068	5708691	+
FBgn0050001	2R	5708673	5710460	-
FBgn0033447	2R	5710587	5714711	-
FBgn0033448	2R	5715609	5724147	-
FBgn0033449	2R	5724490	5725986	+
FBgn0033450	2R	5725939	5727005	-
FBgn0033451	2R	5727281	5728668	+
FBgn0266186	2R	5728585	5730007	-
FBgn0033453	2R	5730191	5733017	+
FBgn0023180	2R	5732963	5733990	-
FBgn0023175	2R	5734141	5735341	-
FBgn0033454	2R	5735566	5738147	+
FBgn0027580	2R	5738208	5749048	-
FBgn0265339	2R	5748650	5749050	+
FBgn0050010	2R	5751156	5752081	+
FBgn0011241	2R	5752015	5762577	-
FBgn0033457	2R	5753137	5754189	+
FBgn0266631	2R	5755724	5756664	+
FBgn0033458	2R	5758975	5761151	+
FBgn0033459	2R	5762786	5763747	+
FBgn0033460	2R	5763737	5769862	-
FBgn0267023	2R	5768901	5770110	+
FBgn0033463	2R	5770077	5779194	-
FBgn0033461	2R	5775153	5776990	+
FBgn0050008	2R	5777383	5778646	+
FBgn0050007	2R	5779460	5786018	+
FBgn0033464	2R	5786523	5790792	-
FBgn0000715	2R	5793799	5797962	+
FBgn0033465	2R	5798398	5800993	+
FBgn0011656	2R	5801001	5846363	-
FBgn0033467	2R	5846624	5847237	-
FBgn0033466	2R	5847054	5851358	+
FBgn0033468	2R	5851340	5852572	-
FBgn0033469	2R	5854736	5855893	+
FBgn0027619	2R	5856434	5858402	+
FBgn0033471	2R	5858648	5860285	+
FBgn0264599	2R	5864501	5867089	-
FBgn0000606	2R	5866824	5868300	+
FBgn0266863	2R	5875630	5876790	-
FBgn0261014	2R	5876664	5881064	+
FBgn0022382	2R	5881395	5913547	-
FBgn0263557	2R	5899598	5899704	-
FBgn0265340	2R	5913861	5914263	-
FBgn0033473	2R	5914344	5918173	+
FBgn0033474	2R	5915948	5920398	-
FBgn0033475	2R	5920809	5922203	+
FBgn0033476	2R	5922100	5936124	-
FBgn0085249	2R	5928570	5931012	-
FBgn0265341	2R	5931540	5932701	+
FBgn0040773	2R	5935858	5937571	+
FBgn0265342	2R	5937853	5938379	+
FBgn0263260	2R	5938367	5939672	-
FBgn0262169	2R	5940046	5951217	+
FBgn0265343	2R	5940148	5940500	-
FBgn0265344	2R	5940600	5940898	-
FBgn0010385	2R	5941683	5942081	-
FBgn0033479	2R	5950890	5954019	-
FBgn0033480	2R	5954155	5954747	+
FBgn0013435	2R	5954722	5956207	-
FBgn0033481	2R	5956611	5958572	+
FBgn0033482	2R	5958486	5963150	-
FBgn0033483	2R	5965871	5971715	+
FBgn0263201	2R	5968293	5968429	-
FBgn0033484	2R	5972674	5983921	+
FBgn0028560	2R	5972947	5974632	-
FBgn0001291	2R	5983985	5986061	+
FBgn0033485	2R	5986023	5987095	-
FBgn0004907	2R	5987182	5997192	+
FBgn0003071	2R	5997245	6004962	+
FBgn0033486	2R	6005199	6008956	+
FBgn0010531	2R	6008991	6010079	-
FBgn0050011	2R	6011798	6024977	+
FBgn0033490	2R	6025161	6026772	+
FBgn0263444	2R	6026767	6029579	-
FBgn0026388	2R	6026769	6029579	+
FBgn0033491	2R	6029843	6033711	+
FBgn0033494	2R	6033402	6079899	-
FBgn0266626	2R	6040222	6041850	+
FBgn0265512	2R	6043421	6046436	-
FBgn0085250	2R	6084641	6087216	-
FBgn0000448	2R	6091500	6124853	-
FBgn0033497	2R	6092959	6122112	-
FBgn0266803	2R	6125249	6125650	-
FBgn0005619	2R	6125493	6133582	+
FBgn0033498	2R	6133576	6135065	-
FBgn0033499	2R	6135319	6136909	+
FBgn0033500	2R	6136725	6143000	+
FBgn0003660	2R	6136940	6139922	-
FBgn0033501	2R	6144191	6148781	+
FBgn0050009	2R	6148820	6151332	-
FBgn0033502	2R	6152562	6156710	+
FBgn0033504	2R	6156521	6194529	+
FBgn0028426	2R	6194535	6197299	-
FBgn0033507	2R	6197618	6198648	+
FBgn0033508	2R	6198677	6199528	-
FBgn0026403	2R	6201396	6209609	+
FBgn0250822	2R	6207349	6208005	-
FBgn0261698	2R	6209700	6304501	-
FBgn0262791	2R	6239038	6239666	-
FBgn0262836	2R	6239038	6239666	-
FBgn0262790	2R	6239961	6240587	-
FBgn0262807	2R	6239961	6240587	-
FBgn0262837	2R	6239961	6240587	-
FBgn0250840	2R	6240873	6241889	+
FBgn0033512	2R	6242229	6243336	-
FBgn0263271	2R	6242229	6243336	-
FBgn0261686	2R	6243676	6244305	-
FBgn0263270	2R	6247718	6248345	+
FBgn0041242	2R	6249690	6251089	+
FBgn0265141	2R	6263743	6265045	-
FBgn0033515	2R	6264633	6267614	-
FBgn0033516	2R	6294480	6294950	-
FBgn0262806	2R	6296025	6296279	-
FBgn0053477	2R	6296660	6297256	-
FBgn0053476	2R	6297490	6298075	-
FBgn0053475	2R	6298275	6298718	-
FBgn0033518	2R	6306223	6307266	+
FBgn0033519	2R	6307919	6311155	-
FBgn0053474	2R	6309211	6310494	+
FBgn0033520	2R	6311941	6312976	+
FBgn0033521	2R	6314385	6315420	-
FBgn0262114	2R	6317213	6324086	+
FBgn0033523	2R	6324103	6324887	-
FBgn0001122	2R	6325490	6353206	+
FBgn0033524	2R	6336855	6346397	-
FBgn0033526	2R	6353506	6356045	-
FBgn0033527	2R	6356121	6357148	+
FBgn0261862	2R	6356978	6366072	-
FBgn0266627	2R	6365548	6366300	+
FBgn0033528	2R	6366516	6367616	-
FBgn0033529	2R	6367668	6369391	+
FBgn0005630	2R	6369399	6430796	-
FBgn0264817	2R	6369399	6372760	-
FBgn0263466	2R	6424000	6424165	-
FBgn0263481	2R	6424250	6424410	-
FBgn0263482	2R	6424455	6424625	-
FBgn0263483	2R	6424640	6424775	-
FBgn0266628	2R	6429100	6429500	+
FBgn0263102	2R	6445393	6504785	+
FBgn0033538	2R	6505167	6529312	+
FBgn0033539	2R	6529323	6532932	-
FBgn0033540	2R	6533240	6536139	+
FBgn0033541	2R	6536393	6537335	+
FBgn0265645	2R	6544200	6545050	-
FBgn0024836	2R	6560850	6608643	+
FBgn0005586	2R	6608840	6616708	-
FBgn0033542	2R	6612775	6614777	+
FBgn0033543	2R	6617083	6619033	-
FBgn0033544	2R	6618840	6625875	+
FBgn0024956	2R	6626122	6627334	-
FBgn0053144	2R	6627559	6686214	-
FBgn0263802	2R	6648283	6649173	+
FBgn0265345	2R	6670400	6673102	+
FBgn0265346	2R	6673219	6673531	-
FBgn0265347	2R	6673700	6673998	-
FBgn0050018	2R	6678964	6680614	+
FBgn0027499	2R	6687925	6696443	-
FBgn0033547	2R	6696902	6698160	+
FBgn0033548	2R	6698061	6698441	-
FBgn0033549	2R	6698583	6699720	+
FBgn0033550	2R	6699662	6700815	-
FBgn0033551	2R	6700910	6703286	+
FBgn0086898	2R	6703542	6707389	-
FBgn0029134	2R	6707483	6708683	+
FBgn0033554	2R	6708603	6709145	-
FBgn0033555	2R	6709181	6709904	+
FBgn0033556	2R	6709905	6710877	-
FBgn0033557	2R	6710910	6715149	+
FBgn0033558	2R	6714935	6723214	-
FBgn0027525	2R	6724075	6726232	-
FBgn0050015	2R	6726607	6762276	-
FBgn0266629	2R	6741051	6742000	+
FBgn0265348	2R	6747200	6747696	+
FBgn0050016	2R	6762397	6762897	-
FBgn0263510	2R	6763253	6764801	+
FBgn0010356	2R	6764817	6767178	-
FBgn0033564	2R	6767479	6770707	+
FBgn0061356	2R	6771052	6772441	+
FBgn0033566	2R	6772524	6773880	+
FBgn0262412	2R	6773038	6773094	+
FBgn0050020	2R	6774315	6780696	+
FBgn0017414	2R	6780539	6781919	-
FBgn0033569	2R	6781964	6784727	+
FBgn0033570	2R	6784649	6785390	-
FBgn0033571	2R	6785536	6786565	-
FBgn0033572	2R	6791075	6793068	+
FBgn0033573	2R	6797428	6797990	+
FBgn0033574	2R	6825930	6829243	-
FBgn0266763	2R	6833814	6834600	+
FBgn0040765	2R	6865461	7003883	-
FBgn0262817	2R	6973091	6975805	+
FBgn0262818	2R	6973750	6974350	-
FBgn0050489	2R	7004730	7009389	-
FBgn0053503	2R	7011163	7013152	-
FBgn0033578	2R	7023428	7026820	+
FBgn0033579	2R	7026809	7059711	-
FBgn0033580	2R	7033794	7034633	+
FBgn0033581	2R	7035107	7037573	-
FBgn0040764	2R	7042401	7042798	+
FBgn0003396	2R	7046591	7104899	+
FBgn0033582	2R	7104921	7107276	-
FBgn0037084	2R	7107044	7109985	+
FBgn0033584	2R	7110376	7114251	+
FBgn0050021	2R	7113963	7120021	-
FBgn0033587	2R	7120697	7121219	-
FBgn0033588	2R	7121500	7121970	+
FBgn0033589	2R	7122757	7123260	+
FBgn0085252	2R	7123365	7123709	+
FBgn0033590	2R	7123708	7124191	-
FBgn0085253	2R	7124677	7125149	-
FBgn0033591	2R	7125613	7126500	-
FBgn0033592	2R	7126999	7127619	-
FBgn0033593	2R	7129250	7129699	-
FBgn0033594	2R	7131752	7132704	+
FBgn0085254	2R	7132911	7133500	+
FBgn0050029	2R	7133610	7134159	+
FBgn0085256	2R	7135631	7136115	+
FBgn0262572	2R	7137099	7137438	+
FBgn0026386	2R	7137873	7139418	+
FBgn0033597	2R	7139256	7140903	-
FBgn0033598	2R	7142672	7143488	+
FBgn0033599	2R	7144012	7146272	+
FBgn0033600	2R	7146611	7147481	-
FBgn0033601	2R	7148584	7149311	-
FBgn0033602	2R	7152631	7154361	+
FBgn0033603	2R	7154420	7160080	-
FBgn0010423	2R	7161350	7162791	-
FBgn0086519	2R	7165462	7165950	-
FBgn0033605	2R	7166398	7167188	-
FBgn0041174	2R	7167230	7168538	+
FBgn0033607	2R	7167989	7171476	-
FBgn0033608	2R	7171788	7172603	+
FBgn0033609	2R	7172653	7177277	-
FBgn0033610	2R	7177193	7178601	-
FBgn0015582	2R	7178499	7180679	-
FBgn0050033	2R	7180036	7181096	+
FBgn0040763	2R	7181281	7182091	-
FBgn0259238	2R	7182041	7185025	-
FBgn0033615	2R	7189421	7193112	+
FBgn0033614	2R	7189752	7190492	-
FBgn0025373	2R	7193016	7195033	-
FBgn0033616	2R	7195384	7197334	+
FBgn0016047	2R	7197840	7206181	-
FBgn0262574	2R	7198336	7198670	+
FBgn0026385	2R	7207215	7208817	-
FBgn0003382	2R	7211819	7223968	+
FBgn0043470	2R	7224345	7225296	+
FBgn0043471	2R	7225302	7226238	-
FBgn0011556	2R	7226691	7227637	-
FBgn0011554	2R	7228018	7228928	-
FBgn0011555	2R	7229219	7230265	-
FBgn0003863	2R	7231765	7232624	-
FBgn0010425	2R	7232742	7233571	-
FBgn0010357	2R	7233830	7234900	+
FBgn0010359	2R	7236566	7237375	-
FBgn0050031	2R	7238316	7239126	+
FBgn0050025	2R	7241069	7241878	-
FBgn0010358	2R	7242824	7243633	+
FBgn0033623	2R	7243619	7244105	-
FBgn0015001	2R	7244225	7245042	+
FBgn0011987	2R	7245069	7245155	-
FBgn0033624	2R	7245407	7246681	-
FBgn0001276	2R	7246942	7247668	-
FBgn0024188	2R	7248211	7249376	+
FBgn0041241	2R	7249405	7250910	+
FBgn0033627	2R	7254215	7257792	+
FBgn0021795	2R	7257805	7258840	-
FBgn0033628	2R	7261112	7264614	+
FBgn0033629	2R	7264698	7266682	-
FBgn0033631	2R	7267852	7271619	-
FBgn0082585	2R	7272248	7284937	-
FBgn0050022	2R	7274665	7276284	-
FBgn0050257	2R	7281858	7281929	+
FBgn0050506	2R	7287275	7287346	-
FBgn0266573	2R	7292204	7292275	+
FBgn0266574	2R	7292737	7292808	-
FBgn0033633	2R	7293102	7295584	+
FBgn0050026	2R	7296081	7296954	-
FBgn0054054	2R	7297315	7297943	-
FBgn0015872	2R	7298708	7317150	-
FBgn0040503	2R	7302015	7302967	+
FBgn0264271	2R	7320155	7320803	-
FBgn0033635	2R	7323748	7329721	+
FBgn0260499	2R	7330010	7339109	+
FBgn0000581	2R	7339548	7352775	+
FBgn0001269	2R	7361970	7397200	+
FBgn0000577	2R	7411511	7415715	-
FBgn0033636	2R	7464990	7503550	-
FBgn0082993	2R	7475688	7475836	-
FBgn0086658	2R	7478846	7478990	-
FBgn0264508	2R	7503700	7504199	+
FBgn0086712	2R	7504374	7506528	-
FBgn0033638	2R	7506984	7528446	-
FBgn0033639	2R	7528982	7539121	-
FBgn0085257	2R	7539362	7539844	+
FBgn0050254	2R	7539872	7539944	-
FBgn0011915	2R	7540154	7540226	+
FBgn0044020	2R	7540261	7566859	-
FBgn0033640	2R	7542403	7543267	+
FBgn0011916	2R	7548068	7548140	-
FBgn0050035	2R	7553273	7562287	+
FBgn0033644	2R	7563440	7565519	+
FBgn0040491	2R	7566997	7576062	+
FBgn0033645	2R	7571670	7573939	-
FBgn0010516	2R	7576074	7578368	-
FBgn0062449	2R	7578790	7585290	+
FBgn0053471	2R	7586597	7587822	-
FBgn0033648	2R	7588152	7589954	-
FBgn0266926	2R	7592260	7593727	-
FBgn0033649	2R	7599768	7613850	+
FBgn0033652	2R	7644322	7701929	+
FBgn0033650	2R	7655958	7657066	+
FBgn0260007	2R	7666031	7666740	+
FBgn0033651	2R	7675313	7676998	-
FBgn0033653	2R	7712850	7714602	+
FBgn0033654	2R	7714675	7727330	-
FBgn0259832	2R	7729113	7729669	+
FBgn0033656	2R	7729608	7731745	-
FBgn0262819	2R	7731883	7732604	+
FBgn0265363	2R	7731883	7732604	-
FBgn0033657	2R	7732829	7739829	+
FBgn0013756	2R	7740122	7748707	+
FBgn0085259	2R	7748815	7749520	+
FBgn0033658	2R	7750042	7750757	-
FBgn0260436	2R	7751666	7752446	+
FBgn0033659	2R	7752681	7753888	-
FBgn0260437	2R	7754448	7755084	+
FBgn0033661	2R	7755381	7773090	-
FBgn0260932	2R	7773572	7775108	+
FBgn0033663	2R	7775073	7778484	-
FBgn0000556	2R	7778640	7783267	+
FBgn0015543	2R	7780628	7780700	+
FBgn0260959	2R	7783502	7791423	-
FBgn0033665	2R	7787022	7788899	+
FBgn0033667	2R	7791828	7800284	-
FBgn0265364	2R	7805380	7806601	+
FBgn0265371	2R	7816749	7817301	-
FBgn0033668	2R	7827062	7854940	+
FBgn0033669	2R	7854848	7857620	-
